input,expected_output
Récupérer les PRs github depuis ce repo,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""close_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collecter les commits,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
"Je veux récupérer les merge requests, ordonné par date","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""close_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les reviews,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""review_state"", ""reviewer"", ""review_date"", ""review_comments"", ""pr_number"", ""pr_title""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collecter la liste des commentaires,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_comments"", ""comment_authors"", ""comment_dates"", ""comment_content"", ""pr_number"", ""pr_title""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les changements de fichiers,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""total_changes"", ""pr_number""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Calculer le lead time,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""creation_date"", ""merge_date"", ""pr_state""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time""]}"
Analyser le code churn,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""lines_added"", ""lines_deleted"", ""file_names"", ""file_status"", ""pr_number""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""churn_additions"", ""churn_deletions""]}"
Afficher les commits dans le temps,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
je veux voir la répartition des états,"{""intent"": ""analyze"", ""metrics"": [""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""pie_chart""}"
Collect PRs from the last month,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get merge requests created in January 2026,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-01-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Fetch commits from Q4 2025,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-10-01"", ""end_date"": ""2025-12-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les PRs depuis janvier 2025,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect data from the past 2 weeks,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-18"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get PRs between March and August 2025,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-03-01"", ""end_date"": ""2025-08-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les données des 6 derniers mois,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""close_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-09-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect MRs from 2024,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""close_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2024-01-01"", ""end_date"": ""2024-12-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get PRs from this year,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les MRs du premier semestre 2025,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-06-30""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Fetch data from last week,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-25"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collecter les MRs de février 2026,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-01"", ""end_date"": ""2026-02-28""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect PRs from Q1 2026,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get commits from the last 3 months,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-12-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les données du dernier trimestre,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-12-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect PRs from develop branch,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get commits from staging,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""staging"", ""metrics"": [""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Fetch MRs from release branch,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""release"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect data from feature/auth,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""feature/auth"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les MRs depuis la branche hotfix,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""hotfix"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get PRs from master,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""master"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect from production branch,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""production"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""merged_by""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Fetch data from feature/new-ui,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""feature/new-ui"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les données de la branche dev,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""dev"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect from bugfix/login branch,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""bugfix/login"", ""metrics"": [""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""file_changes""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get data from v2.0 branch,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""v2.0"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""commit_id"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer depuis la branche testing,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""testing"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect from integration branch,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""integration"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get PRs from feature/payment,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""feature/payment"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Fetch from feature/api-v2 branch,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""feature/api-v2"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get only merged PRs,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""merged_by""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect open PRs only,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer uniquement les MRs fermées,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""creation_date"", ""close_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""closed""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect PRs for Python files only,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get data filtered to JavaScript and TypeScript files,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""creation_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""js"", ""ts""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les données des fichiers Java uniquement,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""creation_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""java""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect data only for .go files,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""creation_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""go""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get PRs for CSS and SCSS files,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""css"", ""scss""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect PRs authored by john-dev and sarah-eng,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [""john-dev"", ""sarah-eng""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les données de l'auteur backend-dev,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [""backend-dev""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
